,Unnamed: 0,Unnamed: 0.1,Unique Student Key,Sport,Season,Term,Unique Section Key by Term,Subject,Course Number,Credits,Grade,Grade Points,Living,Graduated,Home State
0,0,0,45886,M,WI,201210,33154,120,CCL,4,W,0.0,XX,Y,NJ
1,1,1,45886,M,WI,201210,33144,120,YHM,4,W,0.0,XX,Y,NJ
2,2,2,57816,M,WI,201210,33144,120,YHM,4,WP,0.0,XX,Y,FL
3,3,3,57816,M,WI,201210,33154,120,CCL,4,WF,0.0,XX,Y,FL
4,4,4,72192,E,OU,201210,21614,25,HEE,3,W,0.0,XX,Y,LA
5,5,5,72192,E,OU,201210,30794,25,MCM,3,W,0.0,XX,Y,LA
6,6,6,72192,E,OU,201210,21586,25,MEA,3,F,0.0,XX,Y,LA
7,7,7,74844,M,WI,201210,28760,153,AXC,3,WP,0.0,XX,Y,PA
8,8,8,102774,E,OU,201210,20060,102,CLM,3,W,0.0,XX,Y,NJ
9,9,9,104756,L,WI,201210,33090,101,HCP,3,W,0.0,XX,Y,ME
10,10,10,104756,D,OU,201210,33090,101,HCP,3,W,0.0,XX,Y,ME
11,11,11,117646,G,IN,201210,19154,3,HYL,3,W,0.0,YY,Y,NY
12,12,12,120116,E,OU,201210,33586,78,CCD,4,F,0.0,XX,Y,NJ
13,13,13,141706,M,WI,201210,23000,28,CCM,2,F,0.0,XX,N,NC
14,14,14,141706,M,WI,201210,32916,74,HAH,4,W,0.0,XX,N,NC
15,15,15,141706,M,WI,201210,28894,74,MAD,4,W,0.0,XX,N,NC
16,16,16,141706,M,WI,201210,28172,28,CCA,2,W,0.0,XX,N,NC
17,17,17,144204,H,OU,201210,26126,124,YCC,4,P,0.0,XX,Y,PA
18,18,18,146820,H,OU,201210,30418,9,YYM,4,W,0.0,XX,Y,TX
19,19,19,154212,G,IN,201210,20108,124,CCH,4,W,0.0,YY,Y,CT
20,20,20,165890,E,OU,201210,20716,129,CCY,4,W,0.0,YY,Y,NJ
21,21,21,174926,W,WI,201210,19002,85,YED,3,W,0.0,XX,Y,NY
22,22,22,181842,G,IN,201210,25260,53,HDC,4,F,0.0,XX,Y,CT
23,23,23,181842,G,IN,201210,26210,53,HMH,3,F,0.0,XX,Y,CT
24,24,24,181842,G,IN,201210,32988,53,HPE,4,F,0.0,XX,Y,CT
25,25,25,183088,W,WI,201210,19336,19,HAL,3,*F,0.0,XX,Y,NJ
26,26,26,184310,Z,OU,201210,29332,79,YLM,4,P,0.0,XX,Y,IL
27,27,27,194954,T,IN,201210,21284,129,YMY,4,W,0.0,XX,Y,NJ
28,28,28,195864,Z,OU,201210,19842,63,HXH,1,P,0.0,YY,Y,NJ
29,29,29,201166,E,OU,201210,19034,11,MAH,6,WF,0.0,XX,Y,MD
30,30,30,201166,E,OU,201210,18760,121,CYY,4,W,0.0,XX,Y,MD
31,31,31,204666,E,OU,201210,19084,12,CCM,4,W,0.0,XX,Y,NE
32,32,32,204666,E,OU,201210,33712,1,CCH,4,W,0.0,XX,Y,NE
33,33,33,205626,E,OU,201210,33308,78,YHE,4,P,0.0,XX,Y,NY
34,34,34,206134,U,OU,201210,30156,19,YHC,4,F,0.0,XX,Y,OH
35,35,35,206134,U,OU,201210,20230,121,CYH,3,F,0.0,XX,Y,OH
36,36,36,214106,A,IN,201210,20716,129,CCY,4,W,0.0,XX,Y,VA
37,37,37,214970,E,OU,201210,28920,117,CEX,1,W,0.0,YY,Y,NJ
38,42,42,244870,G,IN,201210,19140,3,YLM,3,W,0.0,XX,Y,NJ
39,43,43,246302,G,IN,201210,33404,129,YPE,1,F,0.0,XX,Y,NY
40,44,44,246302,G,IN,201210,30322,129,YXE,4,W,0.0,XX,Y,NY
41,45,45,246302,G,IN,201210,33298,78,YCX,4,P,0.0,XX,Y,NY
42,46,46,251398,G,IN,201210,19974,102,CMM,4,W,0.0,XX,Y,MD
43,49,49,261732,V,IN,201210,19132,3,YLM,3,W,0.0,YY,Y,NJ
44,53,53,270314,E,OU,201210,19154,3,HYL,3,W,0.0,YY,Y,MD
45,54,54,270732,L,WI,201210,21168,43,YCP,4,W,0.0,YY,Y,PA
46,55,56,284526,A,IN,201210,26800,56,YAA,4,F,0.0,XX,Y,VA
47,56,58,296652,L,WI,201210,33414,17,CMC,1,W,0.0,YY,Y,PA
