,Unnamed: 0,Unnamed: 0.1,Unique Student Key,Sport,Season,Term,Unique Section Key by Term,Subject,Course Number,Credits,Grade,Grade Points,Living,Graduated,Home State
0,38,38,231428,E,OU,201210,30818,124,MPD,4,W,0.0,YY,N,MN
1,39,39,231428,E,OU,201210,26094,120,YHY,4,F,0.0,YY,N,MN
2,40,40,231428,E,OU,201210,33156,120,YMH,4,*F,0.0,YY,N,MN
3,41,41,231428,E,OU,201210,33170,124,HYX,4,*F,0.0,YY,N,MN
4,47,47,260372,E,OU,201210,32254,105,MAL,3,W,0.0,XX,Y,PA
5,48,48,261034,G,IN,201210,21280,102,HHA,4,W,0.0,XX,Y,PA
6,50,50,266980,L,WI,201210,18698,121,CMY,4,W,0.0,YY,Y,PA
7,51,51,266980,L,WI,201210,20090,102,MCL,3,F,0.0,YY,Y,PA
8,52,52,266980,L,WI,201210,19044,105,YCA,3,F,0.0,YY,Y,PA
9,69,81,381628,J,WI,201210,19140,3,YLM,3,W,0.0,YY,Y,PA
10,74,86,390742,E,OU,201210,27312,106,CCH,3,W,0.0,YY,N,PA
11,109,195,266980,L,WI,201210,18932,101,CHH,3,D-,0.7,YY,Y,PA
12,132,226,266980,L,WI,201210,19180,106,CYM,3,D,1.0,YY,Y,PA
13,141,239,390742,E,OU,201210,21568,25,YXC,4,D,1.0,YY,N,PA
14,142,240,390742,E,OU,201210,20014,102,CMH,4,D,1.0,YY,N,PA
15,169,292,141408478,E,OU,201210,30304,129,YAC,4,D+,1.3,XX,Y,OH
16,180,303,174064,G,IN,201210,24956,3,YLM,3,C-,1.7,XX,Y,MD
17,181,304,174064,G,IN,201210,31588,63,HHE,3,C-,1.7,XX,Y,MD
18,190,313,247410,V,IN,201210,29708,63,HMH,3,C-,1.7,XX,Y,MA
19,200,324,287888,P,IN,201210,26902,3,YLM,3,C-,1.7,YY,Y,CT
20,214,343,378940,E,OU,201210,33086,131,CCY,4,C-,1.7,YY,Y,NJ
21,218,347,390742,E,OU,201210,30132,102,MCL,3,C-,1.7,YY,N,PA
22,255,420,141306,E,OU,201210,19148,3,HCX,3,C,2.0,XX,Y,PA
23,261,426,174064,G,IN,201210,26900,63,HHC,3,C,2.0,XX,Y,MD
24,277,444,247410,V,IN,201210,31584,63,HMD,3,C,2.0,XX,Y,MA
25,278,445,247410,V,IN,201210,21098,111,HYY,3,C,2.0,XX,Y,MA
26,284,451,260372,E,OU,201210,30090,105,YMY,1,C,2.0,XX,Y,PA
27,285,452,260372,E,OU,201210,23704,105,MLM,3,C,2.0,XX,Y,PA
28,289,456,273682,P,IN,201210,18700,121,CMY,4,C,2.0,YY,Y,PA
29,290,457,273682,P,IN,201210,20100,102,MHY,3,C,2.0,YY,Y,PA
30,306,476,322894,W,WI,201210,21284,129,YMY,4,C,2.0,YY,Y,NJ
31,340,514,378940,E,OU,201210,19390,53,CYY,3,C,2.0,YY,Y,NJ
32,350,528,391108,E,OU,201210,32658,121,CCX,3,C,2.0,YY,Y,OH
33,351,529,391108,E,OU,201210,28568,48,CMP,3,C,2.0,YY,Y,OH
34,362,630,141400952,H,OU,201210,19126,3,YLY,3,C,2.0,YY,N,TX
35,367,635,141460630,U,OU,201210,19156,3,HYE,3,C,2.0,XX,Y,NJ
36,371,639,141461438,W,WI,201210,28882,87,MAL,4,C,2.0,YY,Y,NY
37,372,640,141461438,W,WI,201210,19132,3,YLM,3,C,2.0,YY,Y,NY
38,373,641,141461438,W,WI,201210,21132,48,YAE,3,C,2.0,YY,Y,NY
39,401,673,69390,A,IN,201210,32296,134,HCP,3,C+,2.3,XX,Y,PA
40,424,696,265654,U,OU,201210,20898,11,CCM,4,C+,2.3,YY,Y,NY
41,443,716,322894,W,WI,201210,21640,19,YMC,4,C+,2.3,YY,Y,NJ
42,459,734,351542,M,WI,201210,19556,56,YCC,4,C+,2.3,YY,Y,OH
43,460,735,351552,S,IN,201210,21146,48,YAE,3,C+,2.3,YY,Y,NY
44,461,736,351552,S,IN,201210,21854,20,YYY,3,C+,2.3,YY,Y,NY
45,464,745,356452,T,IN,201210,26870,63,YML,3,C+,2.3,YY,Y,NY
46,465,746,356452,T,IN,201210,19862,97,MCY,3,C+,2.3,YY,Y,NY
47,471,760,381628,J,WI,201210,32110,145,CCY,4,C+,2.3,YY,Y,PA
48,472,761,381628,J,WI,201210,26872,63,YML,3,C+,2.3,YY,Y,PA
49,473,762,381628,J,WI,201210,32656,15,CCX,3,C+,2.3,YY,Y,PA
50,489,838,141461438,W,WI,201210,32586,36,CHC,4,C+,2.3,YY,Y,NY
51,502,851,141518296,Z,OU,201210,28552,48,CMP,3,C+,2.3,YY,Y,UT
52,517,866,141306,E,OU,201210,33228,78,CAM,4,B-,2.7,XX,Y,PA
53,543,892,216600,K,IN,201210,33412,9,HXE,4,B-,2.7,XX,Y,PA
54,562,913,260372,E,OU,201210,19080,105,MAC,3,B-,2.7,XX,Y,PA
55,576,927,273682,P,IN,201210,31656,17,MPE,4,B-,2.7,YY,Y,PA
56,595,949,322894,W,WI,201210,33772,19,YHC,4,B-,2.7,YY,Y,NJ
57,606,961,351552,S,IN,201210,20862,3,YLY,3,B-,2.7,YY,Y,NY
58,612,967,356452,T,IN,201210,26902,3,YLM,3,B-,2.7,YY,Y,NY
59,621,981,378940,E,OU,201210,21886,9,CCY,4,B-,2.7,YY,Y,NJ
60,647,1101,141408478,E,OU,201210,22218,63,HHL,3,B-,2.7,XX,Y,OH
61,648,1102,141408478,E,OU,201210,22230,117,YEA,3,B-,2.7,XX,Y,OH
62,698,1155,134808,R,OU,201210,22228,117,YEY,3,B,3.0,XX,Y,NJ
63,699,1156,141306,E,OU,201210,19164,3,HMA,3,B,3.0,XX,Y,PA
64,700,1157,141306,E,OU,201210,22920,78,CYM,4,B,3.0,XX,Y,PA
65,708,1165,174064,G,IN,201210,33416,9,HXD,4,B,3.0,XX,Y,MD
66,714,1171,181436,T,IN,201210,20778,145,CCY,4,B,3.0,XX,Y,NJ
67,715,1172,181436,T,IN,201210,23698,111,HDX,3,B,3.0,XX,Y,NJ
