Unique Student Key,Sport,Season,Term,Unique Section Key by Term,Subject,Course Number,Credits,Grade,Grade Points,Living,Graduated,Home State
45886,M,WI,201210,33154,120,CCL,4,W,0,XX,Y,NJ
45886,M,WI,201210,33144,120,YHM,4,W,0,XX,Y,NJ
57816,M,WI,201210,33144,120,YHM,4,WP,0,XX,Y,FL
57816,M,WI,201210,33154,120,CCL,4,WF,0,XX,Y,FL
72192,E,OU,201210,21614,025,HEE,3,W,0,XX,Y,LA
72192,E,OU,201210,30794,025,MCM,3,W,0,XX,Y,LA
72192,E,OU,201210,21586,025,MEA,3,F,0,XX,Y,LA
74844,M,WI,201210,28760,153,AXC,3,WP,0,XX,Y,PA
102774,E,OU,201210,20060,102,CLM,3,W,0,XX,Y,NJ
104756,L,WI,201210,33090,101,HCP,3,W,0,XX,Y,ME
104756,D,OU,201210,33090,101,HCP,3,W,0,XX,Y,ME
117646,G,IN,201210,19154,003,HYL,3,W,0,YY,Y,NY
120116,E,OU,201210,33586,078,CCD,4,F,0,XX,Y,NJ
141706,M,WI,201210,23000,028,CCM,2,F,0,XX,N,NC
141706,M,WI,201210,32916,074,HAH,4,W,0,XX,N,NC
141706,M,WI,201210,28894,074,MAD,4,W,0,XX,N,NC
141706,M,WI,201210,28172,028,CCA,2,W,0,XX,N,NC
144204,H,OU,201210,26126,124,YCC,4,P,0,XX,Y,PA
146820,H,OU,201210,30418,009,YYM,4,W,0,XX,Y,TX
154212,G,IN,201210,20108,124,CCH,4,W,0,YY,Y,CT
165890,E,OU,201210,20716,129,CCY,4,W,0,YY,Y,NJ
174926,W,WI,201210,19002,085,YED,3,W,0,XX,Y,NY
181842,G,IN,201210,25260,053,HDC,4,F,0,XX,Y,CT
181842,G,IN,201210,26210,053,HMH,3,F,0,XX,Y,CT
181842,G,IN,201210,32988,053,HPE,4,F,0,XX,Y,CT
183088,W,WI,201210,19336,019,HAL,3,*F,0,XX,Y,NJ
184310,Z,OU,201210,29332,079,YLM,4,P,0,XX,Y,IL
194954,T,IN,201210,21284,129,YMY,4,W,0,XX,Y,NJ
195864,Z,OU,201210,19842,063,HXH,1,P,0,YY,Y,NJ
201166,E,OU,201210,19034,011,MAH,6,WF,0,XX,Y,MD
201166,E,OU,201210,18760,121,CYY,4,W,0,XX,Y,MD
204666,E,OU,201210,19084,012,CCM,4,W,0,XX,Y,NE
204666,E,OU,201210,33712,001,CCH,4,W,0,XX,Y,NE
205626,E,OU,201210,33308,078,YHE,4,P,0,XX,Y,NY
206134,U,OU,201210,30156,019,YHC,4,F,0,XX,Y,OH
206134,U,OU,201210,20230,121,CYH,3,F,0,XX,Y,OH
214106,A,IN,201210,20716,129,CCY,4,W,0,XX,Y,VA
214970,E,OU,201210,28920,117,CEX,1,W,0,YY,Y,NJ
231428,E,OU,201210,30818,124,MPD,4,W,0,YY,N,MN
231428,E,OU,201210,26094,120,YHY,4,F,0,YY,N,MN
231428,E,OU,201210,33156,120,YMH,4,*F,0,YY,N,MN
231428,E,OU,201210,33170,124,HYX,4,*F,0,YY,N,MN
244870,G,IN,201210,19140,003,YLM,3,W,0,XX,Y,NJ
246302,G,IN,201210,33404,129,YPE,1,F,0,XX,Y,NY
246302,G,IN,201210,30322,129,YXE,4,W,0,XX,Y,NY
246302,G,IN,201210,33298,078,YCX,4,P,0,XX,Y,NY
251398,G,IN,201210,19974,102,CMM,4,W,0,XX,Y,MD
260372,E,OU,201210,32254,105,MAL,3,W,0,XX,Y,PA
261034,G,IN,201210,21280,102,HHA,4,W,0,XX,Y,PA
261732,V,IN,201210,19132,003,YLM,3,W,0,YY,Y,NJ
266980,L,WI,201210,18698,121,CMY,4,W,0,YY,Y,PA
266980,L,WI,201210,20090,102,MCL,3,F,0,YY,Y,PA
266980,L,WI,201210,19044,105,YCA,3,F,0,YY,Y,PA
270314,E,OU,201210,19154,003,HYL,3,W,0,YY,Y,MD
270732,L,WI,201210,21168,043,YCP,4,W,0,YY,Y,PA
273852,Z,OU,201210,32262,106,CYM,3,W,0,XX,Y,PA
284526,A,IN,201210,26800,056,YAA,4,F,0,XX,Y,VA
296142,P,IN,201210,21340,017,CCM,1,P,0,YY,Y,PA
